# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931044676216477,0x1.1601c2p-1,0x1.ffff48p-3,0x1.13f31p-5,0x0p+0
1672931044701186073,0x1.176cc6p-1,0x1.041578p-2,0x1.14064cp-5,0x0p+0
1672931044726270762,0x1.17734cp-1,0x1.041578p-2,0x1.1413f2p-5,0x0p+0
1672931044751317385,0x1.17798cp-1,0x1.041578p-2,0x1.1421b2p-5,0x0p+0
1672931044776090700,0x1.177f88p-1,0x1.041578p-2,0x1.142f94p-5,0x0p+0
1672931044801194138,0x1.178c58p-1,0x1.0bc282p-2,0x1.144994p-5,0x0p+0
1672931044826122216,0x1.1791bap-1,0x1.0bc282p-2,0x1.1457a8p-5,0x0p+0
1672931044851458360,0x1.1796c6p-1,0x1.0bc282p-2,0x1.1465b6p-5,0x0p+0
1672931044876329767,0x1.179b86p-1,0x1.0bc282p-2,0x1.1473dep-5,0x0p+0
1672931044901320514,0x1.10e2cp-1,0x1.19046ap-2,0x1.15798ep-5,0x0p+0
1672931044926346774,0x1.10e47ep-1,0x1.19046ap-2,0x1.158828p-5,0x0p+0
1672931044951433825,0x1.10e5d2p-1,0x1.19046ap-2,0x1.1596dap-5,0x0p+0
1672931044976182906,0x1.10e6c6p-1,0x1.19046ap-2,0x1.15a5a8p-5,0x0p+0
1672931045001233804,0x1.1289c8p-1,0x1.2e1c58p-2,0x1.160b2p-5,0x0p+0
1672931045026186225,0x1.128afcp-1,0x1.2e1c58p-2,0x1.161a66p-5,0x0p+0
1672931045052498907,0x1.128c28p-1,0x1.2e1c58p-2,0x1.1629bap-5,0x0p+0
1672931045076340039,0x1.128d54p-1,0x1.2e1c58p-2,0x1.16394p-5,0x0p+0
1672931045101271140,0x1.1887p-1,0x1.4d1ec2p-2,0x1.15767ap-5,0x0p+0
1672931045126294683,0x1.188b06p-1,0x1.4d1ec2p-2,0x1.1585c4p-5,0x0p+0
1672931045151393295,0x1.188f0ep-1,0x1.4d1ec2p-2,0x1.15952p-5,0x0p+0
